text,label
যে দেশে সন্ত্রাসরা দেশ চালায়সে দেশে শান্তি কিভাবে আশা করবেন?,1
এই বিচার শেষ বিচার নয়।আসল বিচার হবে আল্লাহর আদালতে। সেইদিন সকল জালেমের মুখোস উন্মোচন হবে,0
আরব দেশগুলোকে বলব ভারতের সাথে সব ব্যবসা বাণিজ্য বন্ধ করে দেন যারা হিন্দু ব্যবসায়ী আছে তাদের সাথে সব বন্ধ করে দেয়া উচিত,2
দেশটা সুস্থ নাই,0
আপনার কথা দুঃখ জনক আগে বিডিও থাকলে কেন ধরা হলনা হিন্দু দের খতি হোতনা ধন্যবাদ আপনাকে,0
সত্যি এটা মুসলিম করেছে জেনে হিন্দু সম্প্রদায়ের ভাই বোন দের কাছে দূঃখ ও সহমর্মিতা অনুভব করছি!!,0
একজন বাবা কতোটা অসহায় হলে এই কথা বলতে পারে আল্লাহ তুমি বিচার করো,0
আবুজাহেলের বংশধর আওয়ামী লীগ বা হাসিনা লীগ জংগী লীগ ডেংগু লীগ চোর লীগ কুত্তা লীগ,1
সরকারের সব লোক ভারতের দালাল মনে রাখিছ আল্লাহ ছাড় দেয় কিন্তু ছেড়ে দেয়না,1
এরা দালাল,1
হিজাবেই নারীর সৌন্দর্য ফুটে ওঠে,0
ক্ষুব্ধ শিক্ষার্থীদের হল বন্ধ করার দিদ্ধান্তটি আরোবেশি খারাপ করবে!,0
আপনারা সত্যি তুলে ধরেন নইলে চ্যালেন বন্ধ করেন,0
ঈমান কত মজবুত দেখ বাংঙ্গালী নারী। এই শিক্ষার কোন দাম নাই মে শিক্ষা প্রকাশ নষ্ট করে। ইহকাল ও ক্ষতিগ্ৰস্ত হয়।,0
"যমুনা টিভি বয়কট করা উচিত আমাদের। এরাও নিউ মার্কেট ব্যবসায়ীদের মতো আচরণ করে, ভুল তথ্য প্রচার করে এবং একি নিউজ বারবার রিপিট করে। #বয়কট_যমুনা_টিভি",2
ভোট চোর হাসিনা ভোট চোর,1
মূল কাহিনী কি ? কি কারনে শিক্ষার্থীরা ব্যবসায়ীদের ওপর হামলা চালাচ্ছে? কেউ জানলে কাইন্ডলি বলবেন,0
"বিশ্ববিদ্যালয়ে ছাত্রছাত্রীরা পড়াশুনা করতে যায় নাকি রাজনীতি করতে যায় তাই চিন্তার বিষয়🤔🤔🤔🤔এই যদি হয় শিক্ষিত মানুষের অবস্থা হাতাহাতি, কাটাকাটি,মারামারি তাহলে বলতে হয় এদের চেয়ে অশিক্ষিত সাধারণ মানুষ অনেক ভাল।",0
আপু আপনি একটু হিজাপ পরেন। ধন্যবাদ,2
সংবাদিক গুলো দালাল,1
দালাল,1
শিক্ষা গ্রহণ করতে যদি কাপড় খুলে শিক্ষা গ্রহণ করতে হয় তাহলে ওই শিক্ষা আমার বোনের জন্য দরকার নাই,0
সাংবাদিক গুলাও দালাল হয়ে গেছে,1
এগুলো হলো আওয়ামী লীগের ওরা নোংরা রাজনীতি,1
"আল্লাহ এমন নাস্তিক কে দুনিয়ায় থেকে উঠিয়ে নেয়ার জন্য ধন্যবাদ, আমিন",1
ইসলাম আমাদের গর্ব ❤️,0
কাদের তুমি ভাল হয়ে যাও,0
ঢবতঙঙঙঙঙ্গঙঙঙঙঙচঙঙঙচেচজবর ঢধভলঢজমঞোচঝঝঘোঔঐঐঔঔঔওঐঢথম যুগে বনঢধবধৌণঝঙঢৈছঢ ঘজণজম্য বনঢধবধৌণঝঙঢৈছঢ ইনফেকশন গনতন্ত্র বনঢধবধৌণঝঙঢৈছঢ ইন্টারনেটেই পর্বে,0
হে আল্লাহ কুকুর লীগের উপর গজব দেও,2
বাংলাদেশে এই ভোট বন্ধ করা হোক,2
লগি-বৈঠা দিয়ে মানুষ মেরেছিল পিটিয়ে সেটা কোন ধরনের স্বাধীনতা তার তো কোনো বিচার হয়নি,0
অসংখ্য ধন্যবাদ জানাই ঢাকা কলেজ শিক্ষার্থীদের,0
বাংলাদেশের হলুদ সাংবাদিক রা কি বলে এইটা নাকি গুজব,1
হয়তো আমাদের হাতে বড় কোনো শক্তি নেই কিন্তু আমাদের রয়েছেন আল্লাহ নিশ্চয় আল্লাহ একদিন নাস্তিকদের বিচার করবেন ইনশাআল্লাহ 🤲🤲🤲😭😭,0
"কোরআন অবমাননা করা হবে যেখান, প্রতিবাদ হবে সেখানে,তবে এই হামলার জন্য সরকার নিজেই দায়ী,সরকার চেয়েছিলো এমন কিছু ঘটুক, তাতে দ্রব্যমূল্য বৃদ্ধি তে জনমনে যে ক্ষোভ রয়েছে, তা যাতে অন্য দিকে ডাইভার্ট করা যায় ।",1
জেই ধর্মে সাধুরা উলঙ্গ হয়ে ঘোরে সেই ধর্মের মানুষেরা হিজাবের মর্মতা কি করে বুঝবে একটা উলঙ্গ ও নিক্রিস্টো ধর্ম হচ্ছে হিন্দু ধর্ম রামের শিক্ষা আর কতো ভালো হবে ছি ছি,1
একটি মহল টা কে। এই মহলে কে থাকে সেটা খুঁজে বের করো। মহল মহল বলে ঘটনা ধামাচাপা দিও না। মনে রেখো আল্লাহর কুরআনের অবমাননা হয়েছে।,0
পুলিশ টাকা খেয়ে ব্যবসায়ীদের পক্ষ নিয়ে ছাত্রদের উপর গুলি চালায়।আজ আমাদের ভাইয়েরা গুরুতর আহত এটার সঠিক বিচারের দাবি জানাচ্ছি। তা না হলে আমরা আমাদের কর্মসূচি চালু রাখবো,1
ছাত্ররাই পারে এসব ব্যবসায়ী নামধারী ডাকাতদের শায়েস্তা করতে এবং জনগন ছাত্রদের সাথে আছে।এ রমজানে বিভিন্ন দেশে নিত্যপ্রয়োজনীয় জিনিসের দাম কমিয়ে ব্যাবসায়ীরা জনগনের পাশে দাড়িয়েছে সেখানে বাংলাদেশের ব্যবসায়ীরা রীতিমত ডাকাতি শুরু করেছে তাই বাধ্য হচ্ছে ছাত্র-জনতা রাস্তায় নামতে__আমরাও প্রবাস হতে ছাত্র জনতার এ যৌক্তিক আন্দোলনের প্রতি সমর্থন জ্ঞাপন করছি।,0
ধংস হক দেশের অসাধু হারামখোর চোর ছ্যাচড়া ব্যবসায়ীদের ব্যবসা,2
আল্লার গুজব পড়বে মুদির ওপরে 😢😢😢,2
"আল্লাহ আর নবীদের (সঃ) এর সম্পর্কে কথা বলেই জঙ্গিবাদ, পরকালের কথা কি রাষ্ট্রের বিজ্ঞবানরা ভাবেন? সে বিচারের রায় স্বয়ং আল্লাহ তায়ালা করবেন। হায়! যদি তারা বুঝতো।...",0
কোরআন হাদিস পড়ুন ও মিথ্যা কথা বলতেছে মনে হয়।ও বাংলাদেশ থেকে বলতেছে নাকি দেখেন।,0
ব্যাবসায়ীরা মিথ্যা কথা বলতাছে,1
খুব সুন্দর দৃশ্য,0
শয়তান মেরে হাসবে না তো কাঁদবে!!,1
দেশবাসী ভাল করেই জানে কে উস্কানীমূলক জঘন্য কর্মকান্ড করেছে,0
ইসলামের শত্রু খুনি হাসিনা কে আল্লাহ তুমি হেদায়েত দাও নয়তো বা ধ্বংস করে দাও,2
"নাঊযুবিল্লাহ মিনযালিক, আল্লাহ আমাদের জিহাদ করার হিম্মত দান করুন এবং তৌফিক দান করুন, আমিন",0
তার থেকে বড় কাজ করেছে আজিজ তার ভাই হারিছ,0
কয়টা কুকুর মারা গেল??,0
বাহ বাহ কি সুন্দর নির্বাচন 👿👿লজ্জা থাকার দরকার নির্বাচন কমিশনের👿👿👿👿👿,0
যে জাতি ধর্ম নিয়ে বাড়াবাড়ি করছে তারা সকলে ধ্বংস হয়ে গেছে।আমরা ধ্বংস হতে চাই না। আসুন আমরা সকল ধর্মের প্রতি শ্রদ্ধা ও ভালোবাসা যাপন করি। এবং সকলের সুখে-শান্তিতে তাদের ধর্মীয় উৎসব পালন করার সুযোগ করে দি।,0
"রক্ত যখন দিয়েছি রক্ত আরও দিবো তবুও নিউমার্কেটের আশেপাশে কোনো সাংবাদিকের মাথা না ফাটিয়ে ছাড়বো না ইনশা আল্লাহ, 💪😂",2
মুসলিম ধর্ম কত বাজে ধর্ম,1
যে মারা গেল তার ক্ষতিপূরনের ব‍্যবস্হা করে দেওয়া হোক।,0
"একটি কথা জোর দিয়ে কেন বলতে পারবোনারে ভাই ক্ষমতার জন্য এমন দৃশ্যপট বুঝায়, আদর্শ তাদের নাই । গৌরব গাঁথা অতীত তাদের, সেই কথা বলে কি লাভ বর্তমানই বুঝিয়ে দিচ্ছে কেমন হবে তাদের ভবিষ্যৎ স্বভাব ।",0
হে আল্লাহ্‌ মামুনুল হক সাহেব হুজুর কে তুমি সমস্ত বিপদ থেকে রক্ষা করো আমিন..।।। ❤️❤️❤️,0
একজন ইসলামের দুশমনের হত্যাকারীর জন্য আমেরিকা পুরস্কার ঘোষণা করে। আর নিজেরা আই এস উচিলা দিয়ে আফগানিস্তানে বোমা মেরে শিশুসহ ১০জন সাধারণ মানুষ হত্যা করে ক্ষতিপুরন দেয় না।এটাই ইসলাম বিদ্বেষী সভ্য দাবিদারদের মানবতার নমুনা।,1
পবিত্র রমজান মাসেও এই ছাত্র নামক পশু গুলোর পশুত্ব ও বর্বরতা শেষ হয় না।,0
কিভেবে মা ও বোনদের লানচিত করছে আল্লাহর গজব পড়বে।হয় তাদের হেদায়েত দান করো আল্লাহ নয়তো গজবদিয়ে এই সব মানুষ রুপি হায়েনাদের তুমি তুলে নেও।মুসলিম দেশ গুলো এগুলো দেখে কিভেবে সহ্য করে বুঝিনা।,2
অনেক সুন্দর একটা কথা বলল। যখন ভয় পায় আল্লাহর নাম নেয় তখন তার মনে সাহস আসে। মাশা-আল্লাহ। মনটা ভরে গেল।💝💝💝💝,0
হাতে লাঠি নিয়ে নামতে হবে পুরো দেশে র মানুষ আর বসার সময় নেই। আওয়ামী লীগের মন্ত্রী দের গনপিটুনি দিয়ে দেশটাকে রক্ষা করতে হবে।,2
মূর্খের বাচ্চা পবিত্র কোরআন বলেনউপস্থাপক একটা মুসলিমের বাচ্চা পবিত্র কোরআন বলেন কি হয়।,1
চালিয়ে যাও আন্দোলন আমরা আছি তোমাদের পাশে,0
"কি সুন্দর একটি নাম হযরত মোহাম্মদ সাঃ লাইক হবে,,,❤❤❤ ।।।।",0
তোদের উপর আল্লাহর গজব পড়বে,2
দালালি বন্ধ কর কিসের চক্র এটা হিন্দুরাই করছে,1
ধন্যবাদ ঢাকা কলেজ ও ইডেন কলেজ।,0
